	327
ACT3|SC10	1
ACT3|SC11	1
ACT3|SC12	1
ACT3|SC13	1
ACT3|SC2	1
ACT3|SC3	1
ACT3|SC4	1
ACT3|SC5	1
ACT3|SC6	1
ACT3|SC7	1
ACT3|SC8	1
ACT3|SC9	1
ACT4|SC1	2
ACT4|SC10	1
ACT4|SC11	1
ACT4|SC12	1
ACT4|SC13	1
ACT4|SC14	1
ACT4|SC15	1
ACT4|SC2	1
ACT4|SC3	1
ACT4|SC4	1
ACT4|SC5	1
ACT4|SC6	1
ACT4|SC7	1
ACT4|SC8	1
ACT4|SC9	1
ACT5|SC1	1
ACT5|SC2	1
ADAM	17
ADO	1
ADRIAN	14
ADRIANA	87
ADRIANO	3
AEDILE	16
AEDILES	3
AEGEON	20
AEMILIA	1
AEMILIUS	10
AENEAS	57
AEacides	1
AEdiles	1
AEgeon;	1
AEneas	1
AEson	1
AGAMEMNON	66
AGAMEMNONS	1
AGAMEMNONWorthy	1
AGRIPPA	46
AGUECHEEK	91
AIALVOLIO	1
AIARIA	1
AJAX	66
ALARBUS	3
ALBANS	2
ALCIBIADES	46
ALDERMEN	3
ALENCON	32
ALEXANDER	13
ALEXAS	24
ALICE	26
ALIENA	1
ALL	97
ALLOWED	1
ALLS	1
ALONSO	48
AMAZONS	1
AMBASSADOR	3
AMBASSADORS	4
AMIENS	15
AN	3
AND	674
ANDREW	14
ANDROMACHE	9
ANDRONICUS	10
ANDRONICUS;	1
ANGELO	132
ANGELOS	4
ANGUS	5
ANJOU	1
ANNE	109
ANOTHER	1
ANTENOR	6
ANTHONY	2
ANTIGONUS	25
ANTIPHOLUS	204
ANTONIO	174
ANTONIOS	1
ANTONIOTh	1
ANTONY	290
ANTONYS	5
ANY	223
ANYONE	1
APEMANTUS	110
APPARITION	4
APPARITIONS	1
ARC	1
ARCHBISHOP	44
ARCHBISHOPS	1
ARCHIDAMUS	9
ARE	446
ARIEL	74
ARIELS	2
ARMADO	112
ARMY	3
ARRAGON	6
ARTEMIDORUS	4
ARTHUR	32
ARVIRAGUS	61
AS	223
ASAPH;	1
ASCII	2
ASIS	1
ATHENIAN	14
ATHENS	1
ATTENDANT	9
ATTENDANTS	29
ATTENDANTS;	1
ATTENDENTS	1
ATTMAIL	1
AUDREY	17
AUDREY;	1
AUFIDIUS	60
AUMERLE	51
AUSTRIA	19
AUSTRIAS	1
AUTOLYCUS	73
AUVERGNE	2
AWAY	1
Aaron	24
Aarons	1
Abate	6
Abates	1
Abbess	5
Abbey	6
Abbot	3
Abel	1
Abels	1
Abergany	2
Abetting	1
Abhor	2
Abhorrd	1
Abhorred	2
Abhorson	3
Abide	2
Abides	1
Ability	1
Able	2
Aboard	2
Abominable	2
Abortives	1
Abound	1
About	44
Above	23
Abr	5
Abraham	3
Abrahams	1
Abram	4
Abroad	1
Abruptly	1
Absent	1
Absey	1
Absolute	3
Absolvd	1
Absyrtus	1
Abusd	1
Abuse	1
Abused	1
Abuses	1
Abusing	1
Academe	1
Accept	4
Accessible	1
Accommodated	3
Accompanied	1
Accompany	2
Accomplishd	1
Accomplished	1
According	21
Accords	1
Accost	4
Account	1
Accountant	1
Accounted	1
Accoutred	1
Accursd	3
Accursed	4
Accusativo	2
Accuse	4
Accusing	1
Acheron	3
Aches	1
Achievd	1
Achieve	1
Achievement	1
Achievements	1
Achilles	73
Achilles;	6
Achitophel	1
Acknowledge	3
Acordo	1
Acquaint	6
Acquainted	2
Acquire	1
Acquitted	1
Act	2
Actaeon	1
Actaeon;	1
Actaeons;	1
Acting	2
Action	3
Actium	3
Actor	1
Acts	2
Ad	4
Adallas;	1
Adam	22
Adams	3
Add	5
Added	2
Adders	1
Addicted	1
Adding	2
Addition	1
Address	3
Addressd	1
Adieu	38
Adieu;	1
Adjudgd	1
Admirable	1
Admiral	3
Admird	2
Admiringly	1
Admit	6
Admits	1
Adonis	3
Adoptedly	1
Adoption	1
Adopts	1
Adore	1
Adorn	1
Adown	1
Adramadio	2
Adrian	2
Adriana	4
Adriano	1
Adriatic	1
Adsum	1
Adultery	1
Advancd	2
Advance	7
Advances	1
Advancing	8
Advantage	2
Advantaging	1
Adventure	1
Adversity	1
Adversitys	1
Advertising	1
Advise	8
Advocates	1
Aeacida	1
Aediles	1
Aegeon	5
Aegion	1
Aegles	1
Aemelia	1
Aemilia	3
Aemilius	4
Aeneas	25
Aeolus	1
Aesculapius	1
Aesop	1
Aetna	1
Affairs	2
Affected	2
Affection	4
Affections	1
Afflict	1
Affliction	4
Afford	1
Affrighted	1
Affrights	1
Affront	2
Afore	1
Afresh	1
Afric	4
Africa	1
African;	1
After	81
Again	12
Against	140
Agamemmons	1
Agamemnon	24
Agamemnon;	2
Agamemnonhow	1
Agamemnons	5
Agd	1
Age	4
Aged	1
Agenor	1
Agincourt	6
Agree	3
Agreed	2
Agreed;	1
Agrees	1
Agrippa	10
Agrippa;	1
Aguecheek	2
Agueface	1
Ah	167
Aha	2
Ahorseback	1
Aimd	1
Aiming	2
Ainsi	1
Aio	1
Air	3
Airy	1
Ajax	59
Ajax;	2
Ajaxwho	1
Alack	57
Alarbus	2
Alarum	55
Alarum;	5
Alarumd	1
Alarums	18
Alas	179
Alb	58
Alban	3
Albans	18
Albany	14
Albanys	6
Albeit	11
Albion	3
Albions	3
Alce	1
Alcibiades	15
Alcides	7
Aldermen	4
Alectos	1
Alencon	15
Alencon;	1
Alencons	2
Alengon	1
Aleppo	2
Alexander	16
Alexander;	3
AlexanderHow	1
Alexanders	2
Alexandria	24
Alexandria;	1
Alexandrian	2
Alexas	9
Alexas;	1
Alice	3
Alice;	1
Aliena	4
Aliena;	2
Alike	1
Alisander	6
Alive	4
All	382
AllSeer	1
AllSouls	3
Alla	2
Allaying	1
Allayments	1
Allegiance	1
Allhallond	1
Allhallowmas	1
Allhallown	1
Allons	2
Allots	1
Allow	4
Allowd	1
Allowing	1
Allows	1
Alls	20
Allseeing	1
Allworthy	1
Almain;	1
Almighty	3
Almost	22
Aloft	1
Alone	5
Along	4
Alonso	2
Aloof	1
Aloud	2
Alphonso	1
Alps	4
Already	9
Also	2
Althaea	2
Althaeas	1
Although	42
Alton	1
Always	4
Am	59
Amaimon	1
Amamon	1
Amazd	1
Amaze	1
Amazon	4
Amazonian	2
Amazons	3
Ambassador	6
Ambassador;	2
Ambassadors	5
Ambition	2
Ambitions	1
Ambitious	4
Ambitiously	1
Amen	54
Amen;	1
America	1
Amidst	1
Amiens	1
Amiss	1
Amity	1
Among	25
Amongst	10
Amphimacus	1
Ampthill	1
Amurath	2
Amyntas	1
An	268
Anchises	3
Anchors	1
Anchovies	1
Ancient	7
Ancus	1
And	7455
Anddo	1
Andhow	1
Andpholus	1
Andren	1
Andrew	14
Andrew;	1
Andromache	3
Andronici	4
Andronicus	45
Andronicus;	3
Angelica;	1
Angelo	72
Angelo;	5
Angelos	3
Angels	2
Anger	1
Angers	1
Angiers	17
Angiers;	1
Anglais	2
Angleterre	1
Angliae	1
Anglish	1
Angring	1
Angry	1
Angus	7
Anjou	17
Anna	1
Anne	61
Anne;	4
Annes	4
Anointed	3
Anon	33
Another	83
Anothers	1
Anselmo	1
Answer	21
Answerd	2
Answering	2
Ant	38
Antenor	10
Antenor;	1
Antenorides	1
Anteroom	1
Anthony	3
Anthropophagi	1
Anthropophaginian	1
Antiates	3
Antiates;	1
Anticipating	1
Antickd	1
Antigonus	7
Antiopa	1
Antipholus	15
Antipholus;	1
Antipholuses	1
Antipodes	5
Antiquity	1
Antium	10
Antoniad	1
Antonio	77
Antonio;	1
Antonios	8
Antonios;	1
Antonius	4
Antony	209
Antony;	10
Antonys	6
Any	13
Anything	5
Apace	1
Apart	1
Apemantus	23
Apennines	1
Apollinem	1
Apollo	18
Apollo;	1
Apollodorus	1
Apollos	7
Apoth	4
Apothecary	2
Appals	1
Apparel	1
Apparent	1
Apparition	3
Apparitions	1
Appear	15
Appeard	2
Appears	1
Applaud	1
Applauding	1
Applied	1
Applies	1
Applying	2
Appoint	1
Appointed	1
Apprehend	1
Approach	12
Approach;	1
Approaches	1
Approacheth	1
Approaching	1
Approvd	1
Approve	1
Approved	1
Approves	1
April	15
Aprils	3
Apt	3
Aquilond	1
Aquitaine	7
Aquitaine;	1
Arabia	4
Arabia;	1
Arabian	3
Arc	2
Arch	5
Archbishop	22
Archbishop;	2
Archbishops	3
Archdeacon	1
Archdeacons	1
Archelaus	1
Archibald	2
Arde	1
Arden	6
Arden;	1
Are	321
Argal	2
Argier	2
Argo	1
Argud	1
Argue	1
Argues	1
Argus	2
Argus;	1
Ariachnes	1
Ariadne	2
Ariel	14
Ariel;	3
Aries	1
Arinados	1
Arion	1
Arise	13
Arise;	1
Aristode	1
Aristotles	1
Arm	17
Armado	10
Armados	1
Armagnac	3
Armd	4
Arme	2
Armed	3
Armenia	2
Armies	1
Armigero	1
Arming	1
Armourer	2
Armourers	1
Arms	2
Army	5
Army;	1
Aroint	1
Aroused	1
Arragon	4
Arraign	1
Arraigning	1
Arrayd	1
Arrest	3
Arrested	1
Arrogant	1
Art	80
Artemidorus	3
Arthur	28
Arthur;	1
Arthurs	13
Articles	1
Artificial	1
Artois	1
Artsman	1
Arviragus	2
As	1429
Ascanius	1
Ascend	4
Ascends	1
Ascensionday	4
Ascribe	1
Ascribes	1
Ash	1
Asher	1
Ashford	2
Asia	3
Asia;	1
Aside	335
Ask	20
Askance	1
Asked	1
Asleep	1
Asmath	1
Ass	1
Assail	1
Assay	1
Assays	1
Assemble	3
Asses	3
Assignd	1
Assist	7
Assisted	1
Associated	1
Association	1
Assumd	1
Assume	2
Assurance	1
Assure	4
Assured	2
Assuredly	2
Assyrian	2
Ast	1
Asthough	1
Astraeas	1
Astrea	1
At	233
Atalantas	2
Ate	3
Ates	2
Athenian	21
Athenians	7
Athens	70
Athens;	1
Athol	1
Athwart	3
Atlas	1
Atone	1
Atropos	1
Attach	1
Attempts	1
Attend	16
Attendant	9
Attendants	60
Attendants;	3
Attended	3
Attending	3
Attends	3
Attest	1
Attested	1
Attmail	1
Attorney	1
Attorneyd	1
Attracts	1
Aubrey	1
Audacious	1
Audience	1
Audrey	11
Audrey;	4
Aufidius	37
Aufidiuses	1
Augment	1
Augmenting	1
Augures	1
August	2
Augustus	6
Aumerle	18
Aumerle;	2
Aunchient	5
Auroras	2
Austria	5
Austrias	1
Authority	4
Authorized	1
Authorizing	1
Autolycus	1
Autolycus;	1
Auvergne	1
Avaunt	10
AveMaries	2
Aves	1
Avoid	4
Awakd	3
Awake	16
Awakes	3
Awaking	3
Away	175
Away;	2
Awhile	1
Ay	670
Ay;	19
B	6
BAGOT	13
BALTHASAR	3
BALTHAZAR	8
BANDIT	12
BANDITTI	5
BANQUO	34
BAPTISTA	80
BAPTISTAS	4
BAPTISTASo	1
BARDOLPH	123
BARNARDINE	10
BASSANIO	85
BASSET	11
BASSIANUS	24
BASTARD	129
BATES	9
BE	222
BEADLE	8
BEADLES	1
BEAU	19
BEAUFORT	8
BEAUFORTS	1
BEDFORD	38
BELARIUS	77
BELCH	2
BENEDICTINE	221
BERKELEY	6
BEROWNE	170
BERRI	1
BERTRAM	126
BEVIS	3
BIANCA	64
BIANCA;	2
BIGOT	14
BIONDELLO	61
BISHOP	24
BISHOPS	6
BLACKAMOORS	2
BLANCH	13
BLOUNT	1
BLUNT	7
BOATSWAIN	16
BOLINGBROKE	112
BOLINGBROKES	1
BONA	7
BOTH	29
BOTTOM	57
BOURBON	4
BOURBON;	1
BOURCHIER	2
BOY	45
BOYET	88
BOYET;	1
BOYS	3
BRABANTIO	31
BRAKENBURY	18
BRANDON	10
BREACH	1
BRETHREN	1
BRITAINE	6
BRITISH	2
BRITONS	1
BROTHER	4
BROTHERS	2
BRUTUS	302
BUCKINGHAM	178
BULLCALF	7
BULLEN	5
BURGH	1
BURGUNDY	35
BUSHY	20
BUT	3
BUTCHER	2
BUTTS	7
BY	663
Ba	2
Babylon	2
Bacare	1
Bacchanals	2
Bacchus	2
Back	11
Backd	1
Backs	1
Bad	4
Bade	6
Badly	1
Bagot	6
Bait	1
Bajazets	1
Bakd	1
Bal	9
Bald	1
Balk	1
Balkd	1
Ballad	1
Ballads	1
Balm	2
Balth	10
Balthasar	16
Balthazar	3
Balthazar;	1
Ban	2
Banbury	1
Bangor	1
Banish	7
Banishd	4
Banished	1
Banishment	1
Banister	1
Bankrupts	1
Banquo	34
Banquo;	1
Banquos	6
Baptista	26
Baptista;	1
Baptistas	6
Bar	5
Barbary	10
Barbary;	1
Barbason	2
Bard	16
Bardolph	62
Bardolph;	5
Bardolphs	3
Bare	1
Bareheaded	3
Barely	1
Bargulus	1
Bark	1
Barkloughly	1
Barley	1
Barnardine	15
Barnardines	1
Barnes	1
Barnet	3
Barns	1
Barrabas	1
Barren	3
Bars	1
Barson	1
Barst	1
Bartholomew	2
Bartholomewtide	1
Basan	1
Base	13
Basely	1
Bashful	1
Basiliscolike	1
Basimecu	1
Basingstoke	1
Basins	1
Bassanio	33
Bassanio;	2
Bassanios	7
Bassianus	19
Bassianus;	2
Basta	1
Bastard	12
Bastards	3
Basting	1
Bate	2
Bated	1
Bates	1
Batter	1
Bawd	1
Bawds	1
Bay	1
Baying	1
Baynards	3
Bayonne	1
Be	487
Beadle	1
Beadles	1
Bear	44
Bearing	10
Bears	5
Bearst	1
Beart	1
Beast	1
Beat	118
Beaten	2
Beating	5
Beatrice	57
Beats	10
Beau	3
Beaufort	10
Beauforts	3
Beaumond	1
Beaumont	2
Beauteous	3
Beauties	1
Beautiful	1
Beauty	7
Beautys	2
Became	6
Because	106
Beckning	1
Become	11
Becomes	15
Bed	2
Bedabbled	1
Bedford	10
Bedfords	1
Bedlam	4
Been	13
Beetles	1
Befitting	1
Before	210
Beforetime	1
Beg	7
Began	5
Beget	1
Beggar	4
Beggared	1
Beggars	1
Begin	11
Beginning	2
Begins	2
Begone	1
Begot	2
Beguild	3
Beguiles	2
Beguiling	1
Begun	2
Behaviour	1
Beheaded	1
Beheld	2
Behind	6
Behold	43
Behold;	1
Beholding	1
Behoves	2
Being	116
Belarius	5
Belch	2
Beldam	1
Belgia	2
Belief	1
Believe	50
Believed	1
Believet	5
Belike	20
Bell	2
Bellario	6
Bellario;	2
Bellarios	1
Bellonas	1
Bells	1
Belman	1
Belmont	15
Belmont;	1
Belong	3
Belonging	3
Beloved	3
Below	2
Bels	1
Belzebub	3
Bemock	1
Bemonster	1
Ben	64
Bench	1
Bend	2
Bending	1
Bene	133
Beneath	4
Benedicite	2
Benedick	65
Benedick;	1
Benedicks	3
Benedictine	2
Benedictus	1
Benefactors	1
Bennet	2
Bentii	1
Bentivolii;	1
Benvolio	16
Benvolio;	1
Bequeath	2
Bequeathed	2
Bequeathing	1
Ber	20
Bereft	1
Bergamo	1
Bergomask	1
Bergomask;	1
Berkeley	8
Bermoothes	1
Bernardo	9
Berowne	24
Berowne;	2
Berownes	1
Berri	2
Bertram	9
Bertrams	1
Berwick	3
Beseech	20
Beseeching	3
Beseeming	1
Beshrew	21
Beside	9
Besides	60
Bespake	1
Bespoke	1
Bess	1
Bessy	1
Best	13
Bestial	1
Bestow	5
Bestowd	1
Bestride	3
Bests	1
Bet	8
Beteem	1
Bethink	4
Betid	1
Betideth	1
Betimes	1
Betrayd	1
Betrothd	1
Better	29
Bettring	1
Between	46
Betwixt	18
Bevis	1
Beware	9
Beweep	1
Bewitch	1
Bewrayd	1
Beyond	17
Bezonian	1
Bianca	41
Bianca;	5
Biancas	5
Biancos	1
Bias	1
Bid	59
Bidding	2
Biddy	1
Bids	4
Bidst	1
Bifold	1
Big	4
Bigot	2
Bind	7
Biondello	11
Biondello;	1
Birnam	11
Bishop	16
Bishopdid	1
Bishops	6
Bite	2
Bitnet	2
Bitter	1
Black	16
Blackfriars	1
Blackfriars;	1
Blackheath	3
Blackheath;	1
Blackmere	1
Blame	1
Blanc	1
Blanca	1
Blanch	10
Blanket	1
Blaspheming	1
Blasted	1
Blasting	1
Blasts	1
Bleat	1
Bleed	1
Bleeding	1
Blemishd	1
Bless	21
Blessd	1
Blessed	6
Blessing	5
Blest	4
Blind	3
Bliss	3
Blisterd	1
Blithild	1
Blois	1
Blood	7
Bloodstained	1
Bloody	6
Blossom	1
Blotting	1
Blow	9
Blown	2
Blows	3
Blubbring	1
Blue	1
Bluecoats	1
Blunt	32
Blunt;	1
Blunts	1
Bluntwitted	1
Blush	3
Blushd	1
Blushing	1
Boarding	1
Boars	8
Boatswain	1
Boblibindo	1
Bobtail	1
Bocchus	1
Boding	1
Body	1
Bodykins	1
Bohemia	28
Bohemia;	4
Bohemian	1
BohemianTartar	1
Bohemias	2
Bohun	1
Boil	1
Boils	1
Bold	5
Bolder	1
Boldly	2
Boldness	2
Bolingbroke	59
Bolingbroke;	4
Bolingbrokes	4
Bolts	1
Bon	2
Bona	13
Bond	1
Bondage	1
Bone	1
Bonfires	1
Bonos	1
Bonville	1
Book	4
Boot	1
Bootless	3
Bor	1
Bora	37
Borachio	12
Bordeaux	10
Bore	3
Boreas	1
Bores	1
Born	5
Borne	3
Borrow	1
Bosko	1
Boskos	2
Bosom	1
Bosworth	2
Both	88
Bottom	10
Bottom;	1
Bottoms	2
Bouciqualt	1
Bouciqualt;	1
Bounce	1
Bound	7
Bounding	1
Boundless	1
Bounds	1
Bounteous	1
Bounty	1
Bourbon	4
Bourdeaux	1
Bourn	1
Bove	2
Bow	3
Bowing	1
Bows	2
Bowwow	2
Box	2
Boy	35
Boyet	12
Boys	7
Brabant	5
Brabantio	15
Brabbler	1
Brach	1
Bracy	1
Brags	1
Brainford	5
Brainford;	1
Brake	1
Brakenbury	3
Brandish	1
Brandishd	1
Brandon	3
Brass	1
Bravd	1
Brave	14
Bravely	3
Bravest	1
Brawling	1
Bread	1
Break	23
Breaking	1
Breaks	2
Breasting	1
Breath	1
Breathe	5
Breathed	1
Breathing	1
Breathless	2
Brecknock	1
Bred	1
Breed	3
Breeds	1
Bretagne	1
Brethren	1
Brewd	1
Briareus	1
Bridge	3
Bridgenorth	1
Bridgenorth;	1
Bridget	3
Brief	7
Briefly	6
Briefness	1
Bright	2
Brim	1
Bring	74
Bringing	3
Brings	2
Bristol	2
Bristow	4
Britain	49
Britain;	2
Britaine	11
Britaines	2
Britains	2
British	9
Briton	7
Britons	9
Britons;	1
Brittany	4
Broachd	1
Broadfronted	1
Brocas	1
Broke	3
Broken	1
Brook	31
Brook;	8
BrookI	1
Brookonly	1
Brooks	2
Brother	41
Brothers	5
Brought	10
Brown	1
Brownist	1
Bruisd	1
Bruise	2
Bruised	1
Brundusium	1
Brute	2
Brutus	177
Brutus;	4
Buck	2
Buckingham	74
Buckingham;	2
Buckinghams	4
Buckled	1
Bucklersbury	1
Buckles	1
Budge	2
Bugle	1
Build	1
Builds	1
Bull	2
Bullbearing	1
Bullcalf	7
Bullen	4
Bullens	3
Bully	2
Bulmer	1
Bum	1
Bunch	1
Bur	5
Burden	3
Burgundy	39
Burgundy;	5
Buried	3
Burn	8
Burnd	1
Burning	1
Burns	2
Burnt	1
Burst	1
Burton	2
Bury	8
Bushy	8
Business	1
But	2613
Butchers	1
Butler	2
Buttress	1
Butts	3
Buy	5
Buys	2
Buzz	2
By	817
Byandby	3
Byr	9
Byzantium	1
C	2
C;	1
CADE	69
CADEs	1
CADWAL	1
CAESAR	158
CAESAR;	1
CAESARS	10
CAITHNESS	4
CAIUS	79
CAIUSS	1
CALCHAS	9
CALIBAN	61
CALPURNIA	7
CAMBIO	6
CAMBRIDGE	8
CAMILLO	83
CAMPEIUS	18
CAMPEIUS;	1
CANIDIUS	14
CANTERBURY	25
CAPHIS	17
CAPILET	1
CAPTAIN	36
CAPTAINS	10
CAPUCIUS	7
CARDINAL	63
CARDINAL;	1
CARDINALS	5
CARLISLE	12
CASCA	40
CASSANDRA	18
CASSIO	111
CASSIUS	140
CATESBY	49
CATO	4
CDROMS	1
CELIA	123
CENTURION	6
CERES	7
CHAMBERLAIN	52
CHAMBERLAIN;	1
CHANCELLOR	9
CHARGES	223
CHARLES	69
CHARMIAN	79
CHATHAM	2
CHATILLON	9
CHIEF	64
CHILD	10
CHILDREN	3
CHIRON	44
CHIRON;	1
CHORISTERS	1
CHORUS	16
CHRISTOPHER	5
CICERO	5
CIMBER	1
CINNA	21
CINQUEPORTS;	1
CITIZEN	179
CITIZENS	9
CLARENCE	112
CLARENCEs	1
CLAUDIO	48
CLEOMENES	13
CLEOPATPA	1
CLEOPATRA	231
CLEOPATRAS	9
CLEOPATRAs	4
CLERK	6
CLIFFORD	75
CLITUS	9
CLOTEN	89
CLOTENS	1
CLOWN	294
COBWEB	7
COLLEGE	221
COLVILLE	7
COMEDY	2
COMINIUS	85
COMMERCIAL	221
COMMERCIALLY	221
COMMONER	7
COMMONS	2
COMPLAINT	1
COMPLETE	223
CONDITIONS	1
CONSEQUENTIAL	1
CONSPIRATOR	8
CONSPIRATORS	5
CONSTABLE	46
CONSTANCE	40
CONTRACT	1
COPIES	442
COPYRIGHT	221
CORIN	32
CORIOLANUS	176
CORIOLANUSwho	1
CORNELIUS	16
CORONATION	1
CORPORAL	1
COSTARD	101
COUNTESS	111
COUNTESSES	1
COUNTS	8
COURT	3
COURTEZAN	16
COURTEZANS	1
COVENTRY	1
CRANMER	28
CRESSIDA	166
CRIER	4
CROMWELL	26
CUPID	6
CURIO	12
CURTIS	23
CYMBELINE	96
CYMBELINES	11
Ca	1
CaCaliban	1
Cade	26
Cade;	1
Cades	1
Cadmus	1
Cadwal	7
Cadwallader	1
Caelius	1
Caesar	349
Caesar;	16
Caesarion	2
Caesars	75
Cain	4
Caincolourd	1
Cains	2
Caithness	2
Caitiff	1
Caius	53
Calaber	1
Calais	9
Calais;	3
Calchas	8
Calen	1
Caliban	10
Calibans	1
Calipolis	1
Cality	1
Call	111
Calld	7
Called	1
Calling	4
Calls	6
Callst	3
Callt	1
Calm	1
Calmly	2
Calpurnia	8
Calpurnias	2
Calydon	1
Cambio	8
Cambria	2
Cambridge	12
Cambyses	1
Came	39
Camelot	1
Camillo	40
Camillo;	1
Camillos	2
Camp	4
Campeius	3
Camst	3
Can	156
Cancel	3
Cancer	1
Candied	1
Candy;	1
Canidius	5
Cankred	1
Cannibals	2
Cannon	1
Cannot	44
Canonized	1
Canst	26
Cant	2
Canterbury	13
Canterbury;	2
Canterburys	1
Cap	54
Capels	2
Caper	1
Capet	2
Capets	1
Caphis	2
Capilet	2
Capital	1
Capitol	36
Capitol;	7
Capitulate	1
Cappadocia;	1
Capring	1
Caps	1
Capt	12
Captain	77
Captain;	3
Captainare	1
Captains	2
Captive	1
Captives	1
Capucius	1
Capulet	31
Capulet;	2
Capulets	17
Capulets;	1
Car	17
Cardinal	69
Cardinal;	5
Cardinals	14
Cardinals;	1
Cardnal	1
Care	8
Cargo	1
Carlisle	3
Carnally	1
Carnarvonshire	1
Carouse	1
Carried	2
Carrier	5
Carriers	2
Carries	2
Carry	8
Carrying	1
Carthage	7
Carve	1
Casaer	1
Casca	29
Casca;	3
Cascas	1
Case	1
Cassado	1
Cassandra	4
Cassandras	2
Cassibelan	4
Cassio	128
Cassio;	4
Cassios	10
Cassius	85
Cassius;	4
Cast	10
CastalionKingUrinal	1
Castile	1
Castiliano	1
Casting	1
Castle	51
Castle;	4
Cataian	2
Catch	2
Catching	1
Catesby	20
Catesby;	3
Catling	1
Cato	6
Cato;	1
Catos	4
Cats	3
Caucasus	2
Cause	2
Causeless	2
Cavaleiro	3
Cavalery	1
Cave	1
Caveto	1
Cawdor	21
Cawdor;	1
Cease	4
Cease;	1
Cedius	1
Celerity	1
Celestial	1
Celia	2
Celia;	1
Censorinus	1
Censure	1
Centaur	6
Centaur;	1
Centaurs	3
Central	1
Cerberus	3
Cerberus;	1
Ceremony	2
Ceres	6
Certain	9
Certainly	5
Certainly;	1
Certes	2
Cesario	16
Cesario;	2
Cest	2
Chain	1
Chalks	1
Challenge	1
Challenger	1
Cham	6
Chamber	7
Chamberlain	11
Chamberlain;	1
Chambers	1
Champ	1
Champagne	1
Champaign	2
Chams	1
Chance	1
Chancellor	2
Changd	1
Change	8
Changes	1
Channel	1
Chanting	1
Chaos	1
Chaplain	1
Charbon	1
Chargd	1
Charge	5
Charges	1
Charing	1
Charity	1
Charlemain	2
Charles	53
Charles;	4
Charm	1
Charmian	22
Charmian;	3
Charming	1
Charms	1
Charolois;	1
Charon	1
Chartreux	2
Charybdis	1
Chasd	1
Chaste	2
Chastisement	1
Chatham	1
Chatillon	7
Chattels	1
Cheapside	2
Cheated	1
Cheater	1
Check	1
Checkd	1
Checkring	1
Cheer	2
Cheerd	1
Cheered	1
Cheering	1
Cheerly	5
Cherish	1
Chertsey	3
Cheshu	3
Chester;	1
Chetas	1
Chewing	1
Chi	1
Chickens	1
Chide	4
Chiding	1
Chief	14
Chiefly	2
Child	5
Childeric	1
Chill	3
China	1
Chiron	7
Chirrah	1
Chitopher	1
Chokd	2
Choler	3
Choose	6
Chop	1
Chor	2
Chorus	5
Chosen	1
Chrish	6
Christ	6
Christ;	1
Christendom	16
Christian	65
Christian;	4
Christianlike	4
Christians	9
Christmas	3
Christopher	3
Christophero	1
Christs	2
Church	10
Churchmen	1
Churchs	1
Churl	1
Churlish	1
Churlish;	1
Chus	1
Cicely	2
Cicero	11
Ciceter	1
Ciel	1
Ciitzens	1
Cilicia	1
Cimber	10
Cimber;	1
Cimmerian	1
Cinna	15
Cinna;	4
Cinqueports	1
Circe	1
Circes	1
Circumstance;	1
Circumstantial	2
Citing	1
Citizen	2
Citizens	16
City	1
Civil	1
Civility	1
Clamber	1
Clambring	2
Clammer	1
Clamord	1
Clamours	1
Clap	2
Clappd	3
Clapperdeclaw	1
